
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Filtrando opera????es para o dia: 23/03/2026

[23/03/2026, 00:00:00] [WIN] Trade #195 | Lote: 0.01 | P&L: +$47.71 | Saldo: $147.71 ???
[23/03/2026, 00:15:00] [WIN] Trade #196 | Lote: 0.01 | P&L: +$40.76 | Saldo: $188.47 ???
[23/03/2026, 00:30:00] [WIN] Trade #197 | Lote: 0.01 | P&L: +$106.55 | Saldo: $295.02 ???
[23/03/2026, 00:45:00] [WIN] Trade #198 | Lote: 0.01 | P&L: +$51.13 | Saldo: $346.15 ???
[23/03/2026, 01:00:00] [LOSS] Trade #6 | Lote: 0.02 | P&L: $-92.13 | Saldo: $254.02 ???
[23/03/2026, 01:15:00] [WIN] Trade #200 | Lote: 0.01 | P&L: +$36.64 | Saldo: $290.66 ???
[23/03/2026, 01:30:00] [WIN] Trade #201 | Lote: 0.01 | P&L: +$37.64 | Saldo: $328.30 ???
[23/03/2026, 01:45:00] [LOSS] Trade #9 | Lote: 0.01 | P&L: $-27.74 | Saldo: $300.57 ???
[23/03/2026, 02:00:00] [LOSS] Trade #10 | Lote: 0.01 | P&L: $-19.33 | Saldo: $281.24 ???
[23/03/2026, 02:15:00] [WIN] Trade #204 | Lote: 0.01 | P&L: +$22.73 | Saldo: $303.97 ???
[23/03/2026, 02:30:00] [WIN] Trade #205 | Lote: 0.01 | P&L: +$31.10 | Saldo: $335.07 ???
[23/03/2026, 02:45:00] [WIN] Trade #206 | Lote: 0.01 | P&L: +$29.91 | Saldo: $364.98 ???
[23/03/2026, 03:00:00] [WIN] Trade #207 | Lote: 0.01 | P&L: +$29.86 | Saldo: $394.84 ???
[23/03/2026, 03:15:00] [WIN] Trade #208 | Lote: 0.02 | P&L: +$36.82 | Saldo: $431.66 ???
[23/03/2026, 03:30:00] [LOSS] Trade #16 | Lote: 0.02 | P&L: $-29.56 | Saldo: $402.10 ???
[23/03/2026, 03:45:00] [LOSS] Trade #17 | Lote: 0.01 | P&L: $-11.60 | Saldo: $390.50 ???
[23/03/2026, 04:00:00] [WIN] Trade #211 | Lote: 0.01 | P&L: +$17.54 | Saldo: $408.04 ???
[23/03/2026, 04:15:00] [WIN] Trade #212 | Lote: 0.01 | P&L: +$9.01 | Saldo: $417.05 ???
[23/03/2026, 04:30:00] [LOSS] Trade #20 | Lote: 0.01 | P&L: $-10.79 | Saldo: $406.26 ???
[23/03/2026, 04:45:00] [WIN] Trade #214 | Lote: 0.01 | P&L: +$26.49 | Saldo: $432.75 ???
[23/03/2026, 05:00:00] [LOSS] Trade #22 | Lote: 0.01 | P&L: $-6.95 | Saldo: $425.80 ???
[23/03/2026, 05:15:00] [LOSS] Trade #23 | Lote: 0.01 | P&L: $-11.13 | Saldo: $414.67 ???
[23/03/2026, 05:30:00] [WIN] Trade #217 | Lote: 0.01 | P&L: +$36.04 | Saldo: $450.71 ???
[23/03/2026, 05:45:00] [WIN] Trade #218 | Lote: 0.01 | P&L: +$24.33 | Saldo: $475.04 ???
[23/03/2026, 06:00:00] [WIN] Trade #219 | Lote: 0.01 | P&L: +$40.02 | Saldo: $515.06 ???
[23/03/2026, 06:15:00] [WIN] Trade #220 | Lote: 0.01 | P&L: +$71.13 | Saldo: $586.19 ???
[23/03/2026, 06:30:00] [WIN] Trade #221 | Lote: 0.02 | P&L: +$134.02 | Saldo: $720.21 ???
[23/03/2026, 06:45:00] [WIN] Trade #222 | Lote: 0.02 | P&L: +$134.52 | Saldo: $854.73 ???
[23/03/2026, 07:00:00] [WIN] Trade #223 | Lote: 0.03 | P&L: +$285.87 | Saldo: $1140.60 ???
[23/03/2026, 07:15:00] [LOSS] Trade #31 | Lote: 0.03 | P&L: $-91.00 | Saldo: $1049.59 ???
[23/03/2026, 07:30:00] [LOSS] Trade #32 | Lote: 0.01 | P&L: $-43.24 | Saldo: $1006.35 ???
[23/03/2026, 07:45:00] [WIN] Trade #226 | Lote: 0.01 | P&L: +$46.21 | Saldo: $1052.56 ???
[23/03/2026, 08:00:00] [LOSS] Trade #34 | Lote: 0.01 | P&L: $-26.17 | Saldo: $1026.39 ???
[23/03/2026, 08:15:00] [WIN] Trade #228 | Lote: 0.01 | P&L: +$44.66 | Saldo: $1071.05 ???
[23/03/2026, 08:30:00] [WIN] Trade #229 | Lote: 0.01 | P&L: +$48.03 | Saldo: $1119.08 ???
[23/03/2026, 08:45:00] [WIN] Trade #230 | Lote: 0.01 | P&L: +$49.74 | Saldo: $1168.82 ???
