
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[23/03/2026, 12:15:00] [WIN] Trade #243 | Lote: 0.03 | P&L: +$156.54 | Saldo: $2550.86 ???
[23/03/2026, 12:30:00] [WIN] Trade #244 | Lote: 0.03 | P&L: +$202.17 | Saldo: $2753.03 ???
[23/03/2026, 12:45:00] [LOSS] Trade #53 | Lote: 0.03 | P&L: $-88.58 | Saldo: $2664.45 ???
[23/03/2026, 13:00:00] [LOSS] Trade #54 | Lote: 0.01 | P&L: $-26.89 | Saldo: $2637.56 ???
[23/03/2026, 13:15:00] [WIN] Trade #247 | Lote: 0.01 | P&L: +$47.62 | Saldo: $2685.18 ???
[23/03/2026, 13:30:00] [WIN] Trade #248 | Lote: 0.01 | P&L: +$47.99 | Saldo: $2733.17 ???
[23/03/2026, 13:45:00] [LOSS] Trade #57 | Lote: 0.01 | P&L: $-23.43 | Saldo: $2709.75 ???
[23/03/2026, 14:00:00] [WIN] Trade #250 | Lote: 0.01 | P&L: +$25.64 | Saldo: $2735.39 ???
[23/03/2026, 14:15:00] [LOSS] Trade #59 | Lote: 0.01 | P&L: $-25.70 | Saldo: $2709.69 ???
[23/03/2026, 14:30:00] [WIN] Trade #252 | Lote: 0.01 | P&L: +$34.11 | Saldo: $2743.80 ???
[23/03/2026, 14:45:00] [WIN] Trade #253 | Lote: 0.01 | P&L: +$29.22 | Saldo: $2773.02 ???
[23/03/2026, 15:00:00] [LOSS] Trade #62 | Lote: 0.01 | P&L: $-16.00 | Saldo: $2757.02 ???
[23/03/2026, 15:15:00] [WIN] Trade #255 | Lote: 0.01 | P&L: +$40.54 | Saldo: $2797.56 ???
[23/03/2026, 15:30:00] [WIN] Trade #256 | Lote: 0.01 | P&L: +$50.09 | Saldo: $2847.65 ???
[23/03/2026, 15:45:00] [LOSS] Trade #65 | Lote: 0.01 | P&L: $-31.36 | Saldo: $2816.29 ???
[23/03/2026, 16:00:00] [LOSS] Trade #66 | Lote: 0.01 | P&L: $-18.64 | Saldo: $2797.64 ???
[23/03/2026, 16:15:00] [WIN] Trade #259 | Lote: 0.01 | P&L: +$36.76 | Saldo: $2834.40 ???
[23/03/2026, 16:30:00] [WIN] Trade #260 | Lote: 0.01 | P&L: +$34.10 | Saldo: $2868.50 ???
[23/03/2026, 16:45:00] [WIN] Trade #261 | Lote: 0.01 | P&L: +$20.22 | Saldo: $2888.72 ???
[23/03/2026, 17:00:00] [LOSS] Trade #70 | Lote: 0.01 | P&L: $-17.37 | Saldo: $2871.35 ???
