
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[23/03/2026, 12:15:00] [LOSS] Trade #51 | Lote: 0.01 | P&L: $-26.09 | Saldo: $1835.52 ???
[23/03/2026, 12:30:00] [WIN] Trade #244 | Lote: 0.01 | P&L: +$67.39 | Saldo: $1902.91 ???
[23/03/2026, 12:45:00] [WIN] Trade #245 | Lote: 0.01 | P&L: +$59.05 | Saldo: $1961.96 ???
[23/03/2026, 13:00:00] [WIN] Trade #246 | Lote: 0.01 | P&L: +$53.78 | Saldo: $2015.74 ???
[23/03/2026, 13:15:00] [LOSS] Trade #55 | Lote: 0.01 | P&L: $-23.81 | Saldo: $1991.93 ???
[23/03/2026, 13:30:00] [LOSS] Trade #56 | Lote: 0.01 | P&L: $-23.99 | Saldo: $1967.94 ???
[23/03/2026, 13:45:00] [WIN] Trade #249 | Lote: 0.01 | P&L: +$46.85 | Saldo: $2014.79 ???
[23/03/2026, 14:00:00] [LOSS] Trade #58 | Lote: 0.01 | P&L: $-12.82 | Saldo: $2001.97 ???
[23/03/2026, 14:15:00] [LOSS] Trade #59 | Lote: 0.01 | P&L: $-25.70 | Saldo: $1976.27 ???
[23/03/2026, 14:30:00] [WIN] Trade #252 | Lote: 0.01 | P&L: +$34.11 | Saldo: $2010.38 ???
[23/03/2026, 14:45:00] [WIN] Trade #253 | Lote: 0.01 | P&L: +$29.22 | Saldo: $2039.60 ???
[23/03/2026, 15:00:00] [WIN] Trade #254 | Lote: 0.01 | P&L: +$32.00 | Saldo: $2071.60 ???
[23/03/2026, 15:15:00] [WIN] Trade #255 | Lote: 0.01 | P&L: +$40.54 | Saldo: $2112.14 ???
[23/03/2026, 15:30:00] [LOSS] Trade #64 | Lote: 0.02 | P&L: $-50.09 | Saldo: $2062.05 ???
[23/03/2026, 15:45:00] [WIN] Trade #257 | Lote: 0.01 | P&L: +$62.72 | Saldo: $2124.77 ???
[23/03/2026, 16:00:00] [WIN] Trade #258 | Lote: 0.01 | P&L: +$37.29 | Saldo: $2162.06 ???
[23/03/2026, 16:15:00] [WIN] Trade #259 | Lote: 0.01 | P&L: +$36.76 | Saldo: $2198.82 ???
[23/03/2026, 16:30:00] [WIN] Trade #260 | Lote: 0.01 | P&L: +$34.10 | Saldo: $2232.92 ???
[23/03/2026, 16:45:00] [WIN] Trade #261 | Lote: 0.02 | P&L: +$40.44 | Saldo: $2273.36 ???
[23/03/2026, 17:00:00] [LOSS] Trade #70 | Lote: 0.02 | P&L: $-34.74 | Saldo: $2238.62 ???
[23/03/2026, 17:15:00] [WIN] Trade #263 | Lote: 0.01 | P&L: +$25.18 | Saldo: $2263.80 ???
[23/03/2026, 17:30:00] [WIN] Trade #264 | Lote: 0.01 | P&L: +$34.91 | Saldo: $2298.71 ???
[23/03/2026, 17:45:00] [WIN] Trade #265 | Lote: 0.01 | P&L: +$25.14 | Saldo: $2323.85 ???
[23/03/2026, 18:00:00] [LOSS] Trade #74 | Lote: 0.01 | P&L: $-13.34 | Saldo: $2310.51 ???
[23/03/2026, 18:15:00] [WIN] Trade #267 | Lote: 0.01 | P&L: +$21.12 | Saldo: $2331.63 ???
[23/03/2026, 18:30:00] [WIN] Trade #268 | Lote: 0.01 | P&L: +$36.46 | Saldo: $2368.09 ???
[23/03/2026, 18:45:00] [WIN] Trade #269 | Lote: 0.01 | P&L: +$20.55 | Saldo: $2388.64 ???
[23/03/2026, 19:00:00] [WIN] Trade #270 | Lote: 0.01 | P&L: +$47.72 | Saldo: $2436.36 ???
[23/03/2026, 19:15:00] [LOSS] Trade #79 | Lote: 0.02 | P&L: $-21.93 | Saldo: $2414.43 ???
[23/03/2026, 19:30:00] [WIN] Trade #272 | Lote: 0.01 | P&L: +$14.02 | Saldo: $2428.45 ???
[23/03/2026, 19:45:00] [WIN] Trade #273 | Lote: 0.01 | P&L: +$30.43 | Saldo: $2458.88 ???
[23/03/2026, 20:00:00] [WIN] Trade #274 | Lote: 0.01 | P&L: +$25.44 | Saldo: $2484.32 ???
[23/03/2026, 20:15:00] [LOSS] Trade #83 | Lote: 0.01 | P&L: $-4.67 | Saldo: $2479.65 ???
[23/03/2026, 20:30:00] [LOSS] Trade #84 | Lote: 0.01 | P&L: $-7.61 | Saldo: $2472.05 ???
[23/03/2026, 20:45:00] [LOSS] Trade #85 | Lote: 0.01 | P&L: $-3.90 | Saldo: $2468.15 ???
[23/03/2026, 22:00:00] [LOSS] Trade #86 | Lote: 0.01 | P&L: $-29.47 | Saldo: $2438.67 ???
[23/03/2026, 22:15:00] [WIN] Trade #279 | Lote: 0.01 | P&L: +$25.74 | Saldo: $2464.41 ???
[23/03/2026, 22:30:00] [WIN] Trade #280 | Lote: 0.01 | P&L: +$18.33 | Saldo: $2482.74 ???
[23/03/2026, 22:45:00] [LOSS] Trade #89 | Lote: 0.01 | P&L: $-12.44 | Saldo: $2470.30 ???
[23/03/2026, 23:00:00] [WIN] Trade #282 | Lote: 0.01 | P&L: +$14.11 | Saldo: $2484.41 ???
[23/03/2026, 23:15:00] [WIN] Trade #283 | Lote: 0.01 | P&L: +$14.66 | Saldo: $2499.07 ???
[23/03/2026, 23:30:00] [LOSS] Trade #92 | Lote: 0.01 | P&L: $-11.30 | Saldo: $2487.77 ???
[23/03/2026, 23:45:00] [LOSS] Trade #93 | Lote: 0.01 | P&L: $-11.97 | Saldo: $2475.79 ???
[24/03/2026, 00:00:00] [LOSS] Trade #94 | Lote: 0.01 | P&L: $-13.18 | Saldo: $2462.61 ???
[24/03/2026, 00:15:00] [LOSS] Trade #95 | Lote: 0.01 | P&L: $-27.25 | Saldo: $2435.36 ???
[24/03/2026, 00:30:00] [WIN] Trade #288 | Lote: 0.01 | P&L: +$55.85 | Saldo: $2491.22 ???
[24/03/2026, 00:45:00] [WIN] Trade #289 | Lote: 0.01 | P&L: +$43.12 | Saldo: $2534.34 ???
[24/03/2026, 01:00:00] [LOSS] Trade #98 | Lote: 0.01 | P&L: $-22.89 | Saldo: $2511.45 ???
[24/03/2026, 01:15:00] [LOSS] Trade #99 | Lote: 0.01 | P&L: $-18.89 | Saldo: $2492.55 ???
[24/03/2026, 01:30:00] [WIN] Trade #292 | Lote: 0.01 | P&L: +$46.87 | Saldo: $2539.43 ???
[24/03/2026, 01:45:00] [WIN] Trade #293 | Lote: 0.01 | P&L: +$23.79 | Saldo: $2563.22 ???
[24/03/2026, 02:00:00] [WIN] Trade #294 | Lote: 0.01 | P&L: +$31.13 | Saldo: $2594.35 ???
[24/03/2026, 02:15:00] [WIN] Trade #295 | Lote: 0.01 | P&L: +$44.09 | Saldo: $2638.44 ???
[24/03/2026, 02:30:00] [WIN] Trade #296 | Lote: 0.02 | P&L: +$57.68 | Saldo: $2696.12 ???
[24/03/2026, 02:45:00] [WIN] Trade #297 | Lote: 0.02 | P&L: +$54.62 | Saldo: $2750.74 ???
[24/03/2026, 03:00:00] [LOSS] Trade #106 | Lote: 0.03 | P&L: $-27.06 | Saldo: $2723.68 ???
[24/03/2026, 03:15:00] [WIN] Trade #299 | Lote: 0.01 | P&L: +$12.55 | Saldo: $2736.23 ???
[24/03/2026, 03:30:00] [LOSS] Trade #108 | Lote: 0.01 | P&L: $-13.20 | Saldo: $2723.02 ???
[24/03/2026, 03:45:00] [WIN] Trade #301 | Lote: 0.01 | P&L: +$14.54 | Saldo: $2737.56 ???
[24/03/2026, 04:00:00] [WIN] Trade #302 | Lote: 0.01 | P&L: +$10.69 | Saldo: $2748.25 ???
[24/03/2026, 04:15:00] [WIN] Trade #303 | Lote: 0.01 | P&L: +$23.82 | Saldo: $2772.07 ???
