
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Filtrando opera????es para o dia: 25/03/2026

[25/03/2026, 12:30:00] [WIN] Trade #428 | Lote: 0.01 | P&L: +$32.59 | Saldo: $756.01 ???
[25/03/2026, 12:45:00] [LOSS] Trade #53 | Lote: 0.01 | P&L: $-8.02 | Saldo: $747.99 ???
[25/03/2026, 13:00:00] [WIN] Trade #430 | Lote: 0.01 | P&L: +$30.14 | Saldo: $778.13 ???
[25/03/2026, 13:15:00] [WIN] Trade #431 | Lote: 0.01 | P&L: +$19.00 | Saldo: $797.13 ???
[25/03/2026, 13:30:00] [WIN] Trade #432 | Lote: 0.01 | P&L: +$19.83 | Saldo: $816.96 ???
[25/03/2026, 13:45:00] [LOSS] Trade #57 | Lote: 0.01 | P&L: $-11.43 | Saldo: $805.53 ???
[25/03/2026, 14:00:00] [WIN] Trade #434 | Lote: 0.01 | P&L: +$22.10 | Saldo: $827.63 ???
[25/03/2026, 14:15:00] [WIN] Trade #435 | Lote: 0.01 | P&L: +$16.53 | Saldo: $844.16 ???
[25/03/2026, 14:30:00] [LOSS] Trade #60 | Lote: 0.01 | P&L: $-5.90 | Saldo: $838.26 ???
[25/03/2026, 14:45:00] [LOSS] Trade #61 | Lote: 0.01 | P&L: $-7.76 | Saldo: $830.51 ???
[25/03/2026, 15:00:00] [WIN] Trade #438 | Lote: 0.01 | P&L: +$18.91 | Saldo: $849.42 ???
[25/03/2026, 15:15:00] [WIN] Trade #439 | Lote: 0.01 | P&L: +$36.62 | Saldo: $886.04 ???
[25/03/2026, 15:30:00] [WIN] Trade #440 | Lote: 0.01 | P&L: +$9.68 | Saldo: $895.72 ???
[25/03/2026, 15:45:00] [WIN] Trade #441 | Lote: 0.01 | P&L: +$12.35 | Saldo: $908.07 ???
[25/03/2026, 16:00:00] [LOSS] Trade #66 | Lote: 0.02 | P&L: $-12.19 | Saldo: $895.88 ???
[25/03/2026, 16:15:00] [WIN] Trade #443 | Lote: 0.01 | P&L: +$15.19 | Saldo: $911.07 ???
[25/03/2026, 16:30:00] [WIN] Trade #444 | Lote: 0.01 | P&L: +$9.58 | Saldo: $920.65 ???
[25/03/2026, 16:45:00] [WIN] Trade #445 | Lote: 0.01 | P&L: +$9.39 | Saldo: $930.04 ???
[25/03/2026, 17:00:00] [WIN] Trade #446 | Lote: 0.01 | P&L: +$14.25 | Saldo: $944.29 ???
[25/03/2026, 17:15:00] [WIN] Trade #447 | Lote: 0.02 | P&L: +$31.04 | Saldo: $975.33 ???
[25/03/2026, 17:30:00] [WIN] Trade #448 | Lote: 0.02 | P&L: +$27.48 | Saldo: $1002.81 ???
[25/03/2026, 17:45:00] [WIN] Trade #449 | Lote: 0.03 | P&L: +$48.81 | Saldo: $1051.62 ???
[25/03/2026, 18:00:00] [LOSS] Trade #74 | Lote: 0.03 | P&L: $-34.73 | Saldo: $1016.89 ???
[25/03/2026, 18:15:00] [WIN] Trade #451 | Lote: 0.01 | P&L: +$10.05 | Saldo: $1026.94 ???
[25/03/2026, 18:30:00] [WIN] Trade #452 | Lote: 0.01 | P&L: +$10.63 | Saldo: $1037.57 ???
[25/03/2026, 18:45:00] [WIN] Trade #453 | Lote: 0.01 | P&L: +$18.71 | Saldo: $1056.28 ???
[25/03/2026, 19:00:00] [WIN] Trade #454 | Lote: 0.01 | P&L: +$52.57 | Saldo: $1108.85 ???
[25/03/2026, 19:15:00] [LOSS] Trade #79 | Lote: 0.02 | P&L: $-16.15 | Saldo: $1092.70 ???
[25/03/2026, 19:30:00] [WIN] Trade #456 | Lote: 0.01 | P&L: +$20.84 | Saldo: $1113.54 ???
[25/03/2026, 19:45:00] [WIN] Trade #457 | Lote: 0.01 | P&L: +$20.05 | Saldo: $1133.59 ???
[25/03/2026, 20:00:00] [WIN] Trade #458 | Lote: 0.01 | P&L: +$19.12 | Saldo: $1152.71 ???
