time,open,high,low,close,volume,tick_volume,spread
2026-05-29 12:35:00,4517.26,4518.93,4516.05,4518.89,0.0,390.0,17.0
2026-05-29 12:36:00,4518.89,4518.89,4515.78,4516.52,0.0,322.0,13.0
2026-05-29 12:37:00,4516.52,4517.34,4516.47,4517.26,0.0,358.0,16.0
2026-05-29 12:38:00,4517.27,4518.22,4515.29,4516.08,0.0,387.0,12.0
2026-05-29 12:39:00,4516.1,4517.75,4515.29,4517.15,0.0,384.0,12.0
2026-05-29 12:40:00,4517.16,4517.93,4515.35,4516.6,0.0,303.0,12.0
2026-05-29 12:41:00,4516.59,4516.71,4515.19,4515.6,0.0,289.0,12.0
2026-05-29 12:42:00,4515.5,4516.28,4512.6,4513.4,0.0,327.0,12.0
2026-05-29 12:43:00,4513.4,4515.45,4513.31,4514.97,0.0,358.0,12.0
2026-05-29 12:44:00,4514.99,4515.42,4513.12,4514.44,0.0,317.0,12.0
2026-05-29 12:45:00,4514.43,4515.24,4513.18,4514.84,0.0,345.0,17.0
2026-05-29 12:46:00,4514.84,4515.0,4512.63,4514.21,0.0,294.0,19.0
2026-05-29 12:47:00,4514.21,4515.41,4513.43,4514.29,0.0,259.0,17.0
2026-05-29 12:48:00,4514.29,4517.94,4513.47,4517.94,0.0,335.0,12.0
2026-05-29 12:49:00,4517.71,4517.78,4515.13,4515.61,0.0,322.0,12.0
2026-05-29 12:50:00,4515.62,4517.13,4514.34,4516.36,0.0,342.0,17.0
2026-05-29 12:51:00,4516.34,4518.86,4515.66,4518.53,0.0,330.0,12.0
2026-05-29 12:52:00,4518.52,4520.11,4518.04,4518.41,0.0,364.0,15.0
2026-05-29 12:53:00,4518.4,4518.87,4516.43,4516.84,0.0,311.0,13.0
2026-05-29 12:54:00,4516.85,4519.18,4515.89,4518.49,0.0,340.0,12.0
2026-05-29 12:55:00,4518.5,4519.01,4516.48,4517.55,0.0,304.0,17.0
2026-05-29 12:56:00,4517.55,4518.33,4517.03,4518.13,0.0,318.0,12.0
2026-05-29 12:57:00,4518.3,4519.56,4517.6,4518.7,0.0,279.0,16.0
2026-05-29 12:58:00,4518.7,4519.19,4518.08,4518.9,0.0,288.0,15.0
2026-05-29 12:59:00,4518.91,4524.03,4518.87,4523.14,0.0,416.0,12.0
2026-05-29 13:00:00,4523.14,4524.55,4518.12,4518.67,0.0,566.0,12.0
2026-05-29 13:01:00,4518.61,4519.28,4516.97,4518.58,0.0,461.0,18.0
2026-05-29 13:02:00,4518.58,4521.63,4518.14,4520.62,0.0,461.0,12.0
2026-05-29 13:03:00,4520.81,4523.07,4520.81,4522.79,0.0,428.0,13.0
2026-05-29 13:04:00,4522.81,4525.5,4522.0,4524.05,0.0,480.0,13.0
2026-05-29 13:05:00,4524.06,4524.79,4522.53,4522.72,0.0,364.0,12.0
2026-05-29 13:06:00,4522.74,4523.2,4520.45,4522.09,0.0,421.0,12.0
2026-05-29 13:07:00,4522.26,4525.37,4521.79,4524.85,0.0,379.0,20.0
2026-05-29 13:08:00,4524.85,4525.77,4522.53,4525.18,0.0,375.0,12.0
2026-05-29 13:09:00,4525.34,4526.73,4524.74,4525.83,0.0,413.0,12.0
2026-05-29 13:10:00,4525.82,4525.82,4523.49,4524.39,0.0,376.0,12.0
2026-05-29 13:11:00,4524.36,4524.69,4522.55,4524.23,0.0,386.0,15.0
2026-05-29 13:12:00,4524.24,4524.67,4523.02,4523.11,0.0,311.0,13.0
2026-05-29 13:13:00,4523.11,4524.12,4520.79,4522.34,0.0,348.0,12.0
2026-05-29 13:14:00,4522.36,4523.47,4522.14,4522.63,0.0,319.0,12.0
2026-05-29 13:15:00,4522.64,4524.34,4521.44,4522.47,0.0,375.0,15.0
2026-05-29 13:16:00,4522.57,4524.05,4521.15,4523.07,0.0,363.0,19.0
2026-05-29 13:17:00,4523.08,4524.0,4522.34,4523.51,0.0,344.0,16.0
2026-05-29 13:18:00,4523.47,4524.38,4522.74,4522.74,0.0,313.0,12.0
2026-05-29 13:19:00,4522.74,4523.43,4522.4,4522.77,0.0,234.0,12.0
2026-05-29 13:20:00,4522.77,4524.17,4522.33,4523.59,0.0,284.0,15.0
2026-05-29 13:21:00,4523.61,4528.55,4523.6,4528.26,0.0,377.0,12.0
2026-05-29 13:22:00,4528.25,4529.26,4527.32,4527.97,0.0,366.0,12.0
2026-05-29 13:23:00,4527.97,4528.18,4525.95,4526.11,0.0,267.0,12.0
2026-05-29 13:24:00,4526.13,4527.58,4525.23,4526.37,0.0,285.0,12.0
2026-05-29 13:25:00,4526.53,4528.46,4526.38,4527.58,0.0,332.0,12.0
2026-05-29 13:26:00,4527.39,4528.02,4526.59,4527.82,0.0,335.0,12.0
2026-05-29 13:27:00,4527.82,4528.18,4526.36,4526.85,0.0,354.0,12.0
2026-05-29 13:28:00,4526.83,4527.48,4525.35,4525.57,0.0,409.0,12.0
2026-05-29 13:29:00,4525.77,4528.17,4525.43,4528.1,0.0,411.0,12.0
2026-05-29 13:30:00,4528.3,4530.08,4525.36,4529.56,0.0,561.0,13.0
2026-05-29 13:31:00,4529.56,4532.16,4529.27,4530.28,0.0,565.0,12.0
2026-05-29 13:32:00,4530.28,4530.34,4528.32,4528.46,0.0,559.0,12.0
2026-05-29 13:33:00,4528.46,4530.53,4528.14,4528.63,0.0,499.0,12.0
2026-05-29 13:34:00,4528.63,4528.84,4524.95,4524.95,0.0,518.0,12.0
2026-05-29 13:35:00,4524.87,4526.77,4522.62,4523.15,0.0,593.0,12.0
2026-05-29 13:36:00,4523.1,4524.82,4522.4,4524.11,0.0,541.0,12.0
2026-05-29 13:37:00,4524.1,4528.25,4523.11,4527.78,0.0,535.0,12.0
2026-05-29 13:38:00,4527.78,4533.14,4527.71,4533.05,0.0,510.0,12.0
2026-05-29 13:39:00,4533.03,4533.15,4530.57,4531.31,0.0,472.0,12.0
2026-05-29 13:40:00,4531.34,4534.95,4531.23,4534.43,0.0,424.0,12.0
2026-05-29 13:41:00,4534.41,4535.42,4534.06,4534.93,0.0,328.0,13.0
2026-05-29 13:42:00,4534.93,4534.93,4530.29,4531.57,0.0,363.0,18.0
2026-05-29 13:43:00,4531.6,4534.06,4530.79,4531.65,0.0,382.0,20.0
2026-05-29 13:44:00,4531.43,4533.11,4531.32,4532.89,0.0,360.0,12.0
2026-05-29 13:45:00,4532.78,4533.12,4529.49,4531.85,0.0,445.0,12.0
2026-05-29 13:46:00,4531.86,4533.87,4531.56,4533.69,0.0,400.0,12.0
2026-05-29 13:47:00,4533.91,4535.62,4533.27,4534.37,0.0,435.0,20.0
2026-05-29 13:48:00,4534.37,4535.8,4534.04,4535.58,0.0,372.0,12.0
2026-05-29 13:49:00,4535.58,4536.89,4534.76,4535.99,0.0,402.0,12.0
2026-05-29 13:50:00,4536.08,4536.81,4533.51,4534.65,0.0,433.0,12.0
2026-05-29 13:51:00,4534.65,4536.29,4534.43,4534.5,0.0,411.0,13.0
2026-05-29 13:52:00,4534.45,4536.62,4532.23,4535.99,0.0,456.0,12.0
2026-05-29 13:53:00,4535.99,4537.82,4534.81,4536.42,0.0,450.0,12.0
2026-05-29 13:54:00,4536.42,4539.25,4536.37,4538.51,0.0,414.0,12.0
2026-05-29 13:55:00,4538.27,4538.3,4536.84,4538.1,0.0,443.0,12.0
2026-05-29 13:56:00,4538.11,4539.81,4536.62,4539.53,0.0,436.0,12.0
2026-05-29 13:57:00,4539.51,4539.79,4537.84,4539.23,0.0,400.0,13.0
2026-05-29 13:58:00,4539.22,4540.8,4538.67,4540.09,0.0,371.0,13.0
2026-05-29 13:59:00,4540.18,4540.28,4535.41,4536.7,0.0,452.0,12.0
2026-05-29 14:00:00,4536.7,4539.12,4535.15,4537.95,0.0,542.0,13.0
2026-05-29 14:01:00,4537.94,4545.32,4537.94,4545.27,0.0,562.0,12.0
2026-05-29 14:02:00,4545.34,4549.39,4544.94,4545.77,0.0,613.0,13.0
2026-05-29 14:03:00,4545.8,4547.75,4543.12,4544.96,0.0,475.0,23.0
