time,open,high,low,close,volume,tick_volume,spread
2026-05-29 19:13:00,4559.42,4559.76,4558.02,4558.72,0.0,180.0,16.0
2026-05-29 19:14:00,4558.48,4558.61,4558.03,4558.37,0.0,190.0,18.0
2026-05-29 19:15:00,4558.3,4559.22,4557.89,4558.78,0.0,195.0,18.0
2026-05-29 19:16:00,4558.78,4559.18,4558.19,4558.88,0.0,168.0,17.0
2026-05-29 19:17:00,4558.88,4558.88,4557.21,4557.46,0.0,139.0,18.0
2026-05-29 19:18:00,4557.5,4557.59,4556.65,4556.88,0.0,135.0,17.0
2026-05-29 19:19:00,4557.12,4557.84,4556.85,4557.62,0.0,173.0,18.0
2026-05-29 19:20:00,4557.62,4557.8,4556.48,4556.48,0.0,196.0,17.0
2026-05-29 19:21:00,4556.49,4557.95,4556.49,4557.05,0.0,235.0,19.0
2026-05-29 19:22:00,4557.05,4557.54,4556.65,4556.89,0.0,167.0,19.0
2026-05-29 19:23:00,4556.89,4557.07,4556.13,4556.16,0.0,146.0,18.0
2026-05-29 19:24:00,4556.16,4556.64,4555.63,4556.57,0.0,172.0,16.0
2026-05-29 19:25:00,4556.56,4557.04,4554.99,4554.99,0.0,244.0,16.0
2026-05-29 19:26:00,4554.99,4555.9,4554.52,4555.63,0.0,182.0,21.0
2026-05-29 19:27:00,4555.65,4557.04,4555.48,4556.1,0.0,170.0,19.0
2026-05-29 19:28:00,4556.06,4556.44,4555.4,4555.88,0.0,186.0,16.0
2026-05-29 19:29:00,4555.89,4556.06,4555.09,4555.15,0.0,151.0,17.0
2026-05-29 19:30:00,4555.06,4556.26,4553.9,4554.23,0.0,253.0,16.0
2026-05-29 19:31:00,4554.22,4555.27,4553.68,4555.2,0.0,221.0,22.0
2026-05-29 19:32:00,4555.21,4555.41,4553.74,4554.5,0.0,200.0,20.0
2026-05-29 19:33:00,4554.5,4554.63,4553.86,4554.47,0.0,173.0,18.0
2026-05-29 19:34:00,4554.47,4554.62,4552.95,4553.59,0.0,174.0,17.0
2026-05-29 19:35:00,4553.62,4553.88,4553.03,4553.71,0.0,188.0,17.0
2026-05-29 19:36:00,4553.71,4554.09,4552.53,4553.22,0.0,214.0,17.0
2026-05-29 19:37:00,4553.23,4553.23,4551.79,4552.56,0.0,209.0,17.0
2026-05-29 19:38:00,4552.56,4553.16,4552.17,4552.62,0.0,159.0,17.0
2026-05-29 19:39:00,4552.62,4552.92,4551.76,4552.55,0.0,167.0,17.0
2026-05-29 19:40:00,4552.5,4553.08,4551.87,4552.72,0.0,219.0,17.0
2026-05-29 19:41:00,4552.48,4553.94,4551.94,4553.33,0.0,166.0,17.0
2026-05-29 19:42:00,4553.33,4553.73,4552.35,4552.42,0.0,210.0,19.0
2026-05-29 19:43:00,4552.41,4552.97,4551.17,4551.51,0.0,243.0,16.0
2026-05-29 19:44:00,4551.27,4552.01,4551.17,4551.64,0.0,210.0,13.0
2026-05-29 19:45:00,4551.6,4551.6,4550.98,4551.16,0.0,295.0,12.0
2026-05-29 19:46:00,4551.16,4551.49,4550.55,4551.41,0.0,272.0,12.0
2026-05-29 19:47:00,4551.17,4551.53,4549.86,4550.21,0.0,262.0,12.0
2026-05-29 19:48:00,4550.21,4551.14,4550.1,4550.59,0.0,307.0,12.0
2026-05-29 19:49:00,4550.6,4550.6,4548.49,4548.79,0.0,316.0,12.0
2026-05-29 19:50:00,4548.78,4549.46,4546.6,4546.78,0.0,404.0,12.0
2026-05-29 19:51:00,4546.78,4547.92,4546.09,4547.21,0.0,388.0,12.0
2026-05-29 19:52:00,4547.43,4547.82,4545.77,4546.62,0.0,358.0,12.0
2026-05-29 19:53:00,4546.64,4547.21,4545.95,4546.0,0.0,327.0,12.0
2026-05-29 19:54:00,4546.02,4547.0,4545.53,4546.57,0.0,333.0,12.0
2026-05-29 19:55:00,4546.57,4548.28,4546.57,4547.35,0.0,357.0,14.0
2026-05-29 19:56:00,4547.33,4547.34,4545.79,4545.84,0.0,330.0,18.0
2026-05-29 19:57:00,4545.83,4545.83,4542.82,4544.4,0.0,373.0,16.0
2026-05-29 19:58:00,4544.43,4544.72,4543.02,4544.5,0.0,389.0,21.0
2026-05-29 19:59:00,4544.53,4545.92,4543.84,4545.33,0.0,416.0,16.0
2026-05-29 20:00:00,4545.4,4547.5,4544.54,4546.49,0.0,379.0,23.0
2026-05-29 20:01:00,4546.49,4546.74,4545.0,4545.7,0.0,294.0,23.0
2026-05-29 20:02:00,4545.14,4545.15,4543.18,4543.74,0.0,224.0,23.0
2026-05-29 20:03:00,4543.75,4543.82,4542.72,4543.27,0.0,228.0,23.0
