time,open,high,low,close,volume,tick_volume,spread
2026-04-30 02:00:00,4578.87,4581.9,4560.02,4564.77,0.0,10737.0,14.0
2026-04-30 03:00:00,4564.71,4569.09,4555.66,4556.02,0.0,9249.0,14.0
2026-04-30 04:00:00,4556.09,4557.09,4540.79,4541.9,0.0,10132.0,14.0
2026-04-30 05:00:00,4541.92,4569.73,4541.88,4562.68,0.0,10668.0,14.0
2026-04-30 06:00:00,4562.68,4591.66,4560.06,4589.59,0.0,12650.0,14.0
2026-04-30 07:00:00,4589.4,4605.53,4585.08,4598.38,0.0,12092.0,14.0
2026-04-30 08:00:00,4598.41,4629.51,4597.25,4616.21,0.0,12298.0,14.0
2026-04-30 09:00:00,4616.32,4631.59,4614.09,4625.32,0.0,11994.0,14.0
2026-04-30 10:00:00,4625.32,4646.73,4623.61,4639.66,0.0,12082.0,14.0
2026-04-30 11:00:00,4639.66,4644.99,4626.66,4630.31,0.0,12966.0,14.0
2026-04-30 12:00:00,4630.37,4640.0,4624.55,4639.48,0.0,12394.0,14.0
2026-04-30 13:00:00,4639.63,4645.85,4610.68,4610.89,0.0,14493.0,14.0
2026-04-30 14:00:00,4610.84,4626.02,4609.49,4619.59,0.0,15288.0,14.0
2026-04-30 15:00:00,4619.5,4625.46,4611.19,4615.45,0.0,13836.0,14.0
2026-04-30 16:00:00,4615.45,4617.86,4605.31,4607.74,0.0,11793.0,13.0
2026-04-30 17:00:00,4607.54,4621.72,4607.54,4616.92,0.0,11688.0,14.0
2026-04-30 18:00:00,4617.13,4625.33,4616.89,4622.6,0.0,11066.0,14.0
2026-04-30 19:00:00,4622.55,4627.27,4614.5,4617.18,0.0,11279.0,14.0
2026-04-30 20:00:00,4617.14,4622.11,4615.39,4621.7,0.0,7929.0,24.0
2026-04-30 22:00:00,4628.14,4632.91,4625.46,4630.44,0.0,5924.0,25.0
2026-04-30 23:00:00,4630.44,4634.18,4626.29,4626.34,0.0,5786.0,20.0
2026-05-01 00:00:00,4626.52,4631.13,4618.53,4619.81,0.0,9355.0,15.0
2026-05-01 01:00:00,4619.84,4622.33,4613.79,4620.78,0.0,7845.0,14.0
